CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
912797LK1,Bill,8-Week,08/01/2024,08/06/2024,10/01/2024,99.186444,0.05346,,None,
912797ME4,Bill,17-Week,07/31/2024,08/06/2024,12/03/2024,98.317472,0.05249,,None,
912797KK2,Bill,42-Day,07/30/2024,08/01/2024,09/12/2024,99.384000,0.05387,,None,
912797HE0,Bill,13-Week,07/29/2024,08/01/2024,10/31/2024,98.699458,0.05285,,None,
912797LZ8,Bill,26-Week,07/29/2024,08/01/2024,01/30/2025,97.507611,0.05126,,None,
91282CLD1,Note,7-Year,07/25/2024,07/31/2024,07/31/2031,99.777306,,0.04162,Semi-Annual,0.04125
912797KZ9,Bill,4-Week,07/25/2024,07/30/2024,08/27/2024,99.588944,0.05381,,None,
912797LJ4,Bill,8-Week,07/25/2024,07/30/2024,09/24/2024,99.181778,0.05377,,None,
91282CLA7,Note,2-Year,07/24/2024,07/31/2024,07/31/2026,100.000000,,,Quarterly,
91282CLC3,Note,5-Year,07/24/2024,07/31/2024,07/31/2029,99.458270,,0.04121,Semi-Annual,0.04
912797MD6,Bill,17-Week,07/24/2024,07/30/2024,11/26/2024,98.309208,0.05275,,None,
91282CLB5,Note,2-Year,07/23/2024,07/31/2024,07/31/2026,99.888261,,0.04434,Semi-Annual,0.04375
912797GL5,Bill,42-Day,07/23/2024,07/25/2024,09/05/2024,99.385167,0.05376,,None,
912797KV8,Bill,13-Week,07/22/2024,07/25/2024,10/24/2024,98.688083,0.05332,,None,
912797JR9,Bill,26-Week,07/22/2024,07/25/2024,01/23/2025,97.477278,0.0519,,None,
91282CLE9,Note,10-Year,07/18/2024,07/31/2024,07/15/2034,100.012919,,0.01883,Semi-Annual,0.01875
912797KY2,Bill,4-Week,07/18/2024,07/23/2024,08/20/2024,99.590111,0.05365,,None,
912797LH8,Bill,8-Week,07/18/2024,07/23/2024,09/17/2024,99.181778,0.05377,,None,
912810UB2,Bond,19-Year 10-Month,07/17/2024,07/31/2024,05/15/2044,102.062500,,0.04466,Semi-Annual,0.04625
912797MC8,Bill,17-Week,07/17/2024,07/23/2024,11/19/2024,98.302597,0.05296,,None,
912797KD8,Bill,42-Day,07/16/2024,07/18/2024,08/29/2024,99.385750,0.05371,,None,
912797KU0,Bill,13-Week,07/15/2024,07/18/2024,10/17/2024,98.686819,0.05337,,None,
912797LY1,Bill,26-Week,07/15/2024,07/18/2024,01/16/2025,97.479806,0.05185,,None,
912797KX4,Bill,4-Week,07/11/2024,07/16/2024,08/13/2024,99.590111,0.05365,,None,
912797LG0,Bill,8-Week,07/11/2024,07/16/2024,09/10/2024,99.181778,0.05377,,None,
912810UA4,Bond,29-Year 10-Month,07/11/2024,07/15/2024,05/15/2054,103.622071,,0.04405,Semi-Annual,0.04625
912797MB0,Bill,17-Week,07/10/2024,07/16/2024,11/12/2024,98.282764,0.05359,,None,
91282CKQ3,Note,9-Year 10-Month,07/10/2024,07/15/2024,05/15/2034,100.777903,,0.04276,Semi-Annual,0.04375
91282CKZ3,Note,3-Year,07/09/2024,07/15/2024,07/15/2027,99.933233,,0.04399,Semi-Annual,0.04375
912797KC0,Bill,42-Day,07/09/2024,07/11/2024,08/22/2024,99.385167,0.05376,,None,
912797LW5,Bill,52-Week,07/09/2024,07/11/2024,07/10/2025,95.171944,0.05024,,None,
912797KT3,Bill,13-Week,07/08/2024,07/11/2024,10/10/2024,98.677972,0.05374,,None,
912797LX3,Bill,26-Week,07/08/2024,07/11/2024,01/09/2025,97.431778,0.05286,,None,
912797KW6,Bill,4-Week,07/03/2024,07/09/2024,08/06/2024,99.589333,0.05375,,None,
912797LA3,Bill,8-Week,07/03/2024,07/09/2024,09/03/2024,99.179444,0.05393,,None,
912797MA2,Bill,17-Week,07/03/2024,07/09/2024,11/05/2024,98.279458,0.0537,,None,
912797KB2,Bill,41-Day,07/02/2024,07/05/2024,08/15/2024,99.399806,0.05375,,None,
912797GW1,Bill,13-Week,07/01/2024,07/05/2024,10/03/2024,98.690000,0.05383,,None,
912797LR6,Bill,26-Week,07/01/2024,07/05/2024,01/02/2025,97.428292,0.05323,,None,
912797KR7,Bill,4-Week,06/27/2024,07/02/2024,07/30/2024,99.590111,0.05365,,None,
912797KZ9,Bill,8-Week,06/27/2024,07/02/2024,08/27/2024,99.181778,0.05377,,None,
